user_id,pred3
43323,"Phones,Fashion,Home Decor"
4269,"Phones,Fashion,Home Decor"
21731,"Phones,Fashion,Home Decor"
14422,"Phones,Fashion,Home Decor"
12862,"Phones,Fashion,Home Decor"
49017,"Phones,Fashion,Home Decor"
44259,"Phones,Fashion,Home Decor"
19672,"Phones,Fashion,Home Decor"
7322,"Phones,Fashion,Home Decor"
20893,"Phones,Fashion,Home Decor"
11999,"Phones,Fashion,Home Decor"
43072,"Phones,Fashion,Home Decor"
17439,"Phones,Fashion,Home Decor"
36107,"Phones,Fashion,Home Decor"
8764,"Phones,Fashion,Home Decor"
28907,"Phones,Fashion,Home Decor"
22534,"Phones,Fashion,Home Decor"
15904,"Phones,Fashion,Home Decor"
21831,"Phones,Fashion,Home Decor"
17107,"Phones,Fashion,Home Decor"
17706,"Phones,Fashion,Home Decor"
41957,"Phones,Fashion,Home Decor"
46192,"Phones,Fashion,Home Decor"
3333,"Phones,Fashion,Home Decor"
15324,"Phones,Fashion,Home Decor"
26705,"Phones,Fashion,Home Decor"
17888,"Phones,Fashion,Home Decor"
30189,"Phones,Fashion,Home Decor"
29011,"Phones,Fashion,Home Decor"
10761,"Phones,Fashion,Home Decor"
9987,"Phones,Fashion,Home Decor"
49820,"Phones,Fashion,Home Decor"
38953,"Phones,Fashion,Home Decor"
11427,"Phones,Fashion,Home Decor"
17476,"Phones,Fashion,Home Decor"
38321,"Phones,Fashion,Home Decor"
45511,"Phones,Fashion,Home Decor"
45342,"Phones,Fashion,Home Decor"
13634,"Phones,Fashion,Home Decor"
11957,"Phones,Fashion,Home Decor"
21977,"Phones,Fashion,Home Decor"
28827,"Phones,Fashion,Home Decor"
20937,"Phones,Fashion,Home Decor"
6457,"Phones,Fashion,Home Decor"
41136,"Phones,Fashion,Home Decor"
10945,"Phones,Fashion,Home Decor"
7797,"Phones,Fashion,Home Decor"
2965,"Phones,Fashion,Home Decor"
31847,"Phones,Fashion,Home Decor"
40460,"Phones,Fashion,Home Decor"
14724,"Phones,Fashion,Home Decor"
33232,"Phones,Fashion,Home Decor"
40497,"Phones,Fashion,Home Decor"
4921,"Phones,Fashion,Home Decor"
42250,"Phones,Fashion,Home Decor"
48405,"Phones,Fashion,Home Decor"
42781,"Phones,Fashion,Home Decor"
27896,"Phones,Fashion,Home Decor"
3046,"Phones,Fashion,Home Decor"
2013,"Phones,Fashion,Home Decor"
45406,"Phones,Fashion,Home Decor"
16290,"Phones,Fashion,Home Decor"
18787,"Phones,Fashion,Home Decor"
40932,"Phones,Fashion,Home Decor"
40284,"Phones,Fashion,Home Decor"
5276,"Phones,Fashion,Home Decor"
16256,"Phones,Fashion,Home Decor"
25203,"Phones,Fashion,Home Decor"
9821,"Phones,Fashion,Home Decor"
38207,"Phones,Fashion,Home Decor"
6206,"Phones,Fashion,Home Decor"
34091,"Phones,Fashion,Home Decor"
28074,"Phones,Fashion,Home Decor"
28773,"Phones,Fashion,Home Decor"
35075,"Phones,Fashion,Home Decor"
23649,"Phones,Fashion,Home Decor"
39544,"Phones,Fashion,Home Decor"
36920,"Phones,Fashion,Home Decor"
7799,"Phones,Fashion,Home Decor"
19097,"Phones,Fashion,Home Decor"
38190,"Phones,Fashion,Home Decor"
17139,"Phones,Fashion,Home Decor"
16464,"Phones,Fashion,Home Decor"
13410,"Phones,Fashion,Home Decor"
24830,"Phones,Fashion,Home Decor"
11857,"Phones,Fashion,Home Decor"
4107,"Phones,Fashion,Home Decor"
47441,"Phones,Fashion,Home Decor"
45751,"Phones,Fashion,Home Decor"
35485,"Phones,Fashion,Home Decor"
48328,"Phones,Fashion,Home Decor"
14062,"Phones,Fashion,Home Decor"
36726,"Phones,Fashion,Home Decor"
26198,"Phones,Fashion,Home Decor"
44199,"Phones,Fashion,Home Decor"
28256,"Phones,Fashion,Home Decor"
14554,"Phones,Fashion,Home Decor"
29307,"Phones,Fashion,Home Decor"
46922,"Phones,Fashion,Home Decor"
19057,"Phones,Fashion,Home Decor"
34399,"Phones,Fashion,Home Decor"
9141,"Phones,Fashion,Home Decor"
26745,"Phones,Fashion,Home Decor"
